Black
259,245,97,472
265,249,98,479
277,258,103,500
273,256,101,493
265,248,98,480
274,256,102,495
275,257,103,496
270,252,101,487
277,258,103,498
274,256,102,494
269,252,99,485
269,252,99,486
277,258,103,499
277,259,103,499
270,253,101,487
275,257,103,496
277,258,103,498
267,251,99,484
277,258,103,498
277,258,103,499
Yellow
5551,5573,1523,7504
6947,6693,1897,9165
5453,5484,1471,7372
5319,5221,1441,7172
7139,6902,1975,9418
4433,4336,1213,6068
6097,5887,1677,8153
6154,6183,1674,8251
5775,5477,1595,7748
4865,4769,1315,6611
6841,6957,1891,9100
5076,5035,1419,6913
5876,5716,1595,7859
5166,5148,1391,6994
6243,6169,1699,8323
5853,5555,1623,7850
5313,5259,1457,7186
6287,6005,1735,8389
4924,4886,1336,6698
4503,4453,1247,6175
Green
2513,3862,1034,4780
1949,3026,813,3849
2478,3899,1049,4761
2544,3745,1059,4696
2207,3537,929,4373
2513,3811,1037,4745
2171,3311,903,4160
2503,3879,1026,4818
2367,3684,987,4560
2287,3299,939,4231
2196,3426,913,4257
2565,3934,1069,4941
2171,3126,889,4026
2244,3597,941,4450
1792,2760,742,3486
2055,3101,835,3933
1985,3065,822,3894
2345,3678,983,4523
2127,3227,871,4087
2089,3257,871,4099
Orange
4151,2691,1037,5431
4374,2915,1085,5650
4985,3162,1235,6253
5813,4045,1561,7481
3883,2595,963,5063
4736,3115,1232,6161
4003,2589,1026,5240
5365,3707,1317,6828
4221,2715,1049,5516
3797,2464,981,4987
3269,2057,803,4318
4609,3090,1219,6024
4516,3136,1145,5838
3855,2450,952,5043
4307,2805,1089,5621
4613,2963,1139,5972
4487,3053,1129,5802
4271,2757,1069,5608
5671,3716,1432,7261
4205,2834,1039,5451
Red
3263,1537,817,4624
2569,1169,623,3616
2552,1178,631,3616
2957,1337,735,4186
2763,1299,707,3979
2656,1450,765,3871
2317,1101,577,3273
2444,1118,603,3477
2336,1210,620,3327
2861,1404,759,4125
3170,1644,845,4432
2333,1152,600,3309
2429,1113,611,3489
2595,1244,679,3768
2041,954,509,2922
2915,1643,845,4213
2766,1345,721,3985
2202,1003,545,3144
2471,1163,643,3590
2079,981,526,2987
Brown
1873,1794,681,2736
1034,878,323,1522
1822,1726,655,2656
1033,843,329,1525
1261,1115,433,1857
1301,1141,460,1921
1260,1095,436,1849
1125,929,357,1646
1229,1090,433,1818
1291,1101,411,1875
1315,1108,417,1905
1206,1025,385,1758
931,769,295,1379
1270,1127,397,1846
1101,903,350,1614
1587,1411,541,2299
1185,981,374,1727
978,822,319,1450
1141,959,369,1675
1191,993,375,1733
Blue
1579,2178,1398,3471
843,1280,910,2177
1195,1665,1145,2803
1387,2073,1295,3226
1330,1779,1177,2941
1081,1673,1080,2641
816,1193,870,2081
977,1439,973,2383
985,1555,1107,2563
1027,1627,1095,2610
1460,2193,1412,3458
999,1464,987,2417
1089,1807,1280,2910
847,1273,941,2209
967,1461,959,2361
997,1588,1131,2608
1017,1522,1035,2510
1093,1721,1120,2715
1116,1834,1307,2958
957,1498,1041,2484

